q,orbit,dim,order,largest_prime,bits,log2_q,security_ratio,embedding_degree
83,1,1,84,7,2.807354922057604,6.3750394313469245,0.4403666757343434,0
83,2,4,50716827,268343,18.0337187288716,6.3750394313469245,0.7072002817816854,268342
83,3,6,459502101504,59999,15.87265083515288,6.3750394313469245,0.41496869695437816,29999
89,1,1,97,97,6.599912842187128,6.475733430966398,1.0191761153457792,16
89,2,4,58226448,173293,17.40285385386709,6.475733430966398,0.6718487581131793,43323
89,3,6,662888044032,10036459,23.258747020729025,6.475733430966398,0.5986129413930605,1672743
97,1,1,111,37,5.20945336562895,6.599912842187128,0.7893215395709079,0
97,2,4,70520016,29983,14.871857121360522,6.599912842187128,0.5633353605178889,9994
97,3,6,660871632384,143418323,27.09565411237538,6.599912842187128,0.6842427256306065,143418322
101,1,1,84,7,2.807354922057604,6.658211482751795,0.42163799232423044,0
101,2,4,127362256,1137163,20.117007633085638,6.658211482751795,0.7553457743569378,189527
101,3,6,925417482240,120017,16.872879247592387,6.658211482751795,0.4223576479284729,120016
103,1,1,96,3,1.584962500721156,6.6865005271832185,0.23703916484828927,0
103,2,4,125398077,5971337,22.509622560665548,6.6865005271832185,0.841606998651806,746417
103,3,6,1420036935552,136963439,27.029215590877268,6.6865005271832185,0.673726001640495,136963438
107,1,1,100,5,2.321928094887362,6.741466986401147,0.3444247519970273,0
107,2,4,131555088,6869,12.74588436914204,6.741466986401147,0.4726673139115334,6868
107,3,6,2125880997888,11299,13.463907474412858,6.741466986401147,0.33286294861272236,3766
109,1,1,106,53,5.727920454563199,6.768184324776926,0.8463008954402238,0
109,2,4,135198959,19314137,24.203153880293645,6.768184324776926,0.8940046812736354,9657068
109,3,6,1934385974784,1385441,20.40191384324721,6.768184324776926,0.5023975132335964,1385440
113,1,1,113,113,6.820178962415188,6.820178962415188,1.0,0
113,2,4,194845749,9278369,23.145439792520342,6.820178962415188,0.848417611915714,4639184
113,3,6,1382421986304,450007157,28.745372705621875,6.820178962415188,0.7024589057470142,112501789
127,1,1,136,17,4.087462841250339,6.9886846867721655,0.5848686876640586,0
127,2,4,268567152,799307,19.608390198253552,6.9886846867721655,0.7014334984724427,399653
127,3,6,4020069040128,231041,17.817789366112823,6.9886846867721655,0.4249199519102035,231040
131,1,1,114,19,4.247927513443585,7.03342300153745,0.6039630365634233,0
131,2,4,339103632,1009237,19.94483357288144,7.03342300153745,0.708930543795022,84103
131,3,6,6529990169088,1881937,20.84378690232746,7.03342300153745,0.49392230254910907,627312
137,1,1,155,31,4.954196310386875,7.098032082960526,0.6979675848859398,0
137,2,4,371540176,62591,15.933667605575867,7.098032082960526,0.5612001826473174,31295
137,3,6,6023565880320,21487,14.391176448296964,7.098032082960526,0.3379147036834875,3581
139,1,1,122,61,5.930737337562887,7.118941072723508,0.8330926295045104,0
139,2,4,464481584,592451,19.176336312025267,7.118941072723508,0.6734265713162076,296225
139,3,6,7023533879808,1050451,20.0025774360417,7.118941072723508,0.4682947747355838,350150
149,1,1,136,17,4.087462841250339,7.219168520462161,0.5661957924468378,0
149,2,4,462780283,733,9.517669388133811,7.219168520462161,0.3295971468582819,732
149,3,6,12799624793088,1223,10.256208688527387,7.219168520462161,0.23678185512770564,611
151,1,1,148,37,5.20945336562895,7.2384047393250786,0.7196963354821588,0
151,2,4,532326144,1193,10.220378327695228,7.2384047393250786,0.35299139436655047,149
151,3,6,13475724115968,647,9.337621901992508,7.2384047393250786,0.21500183715118706,646
157,1,1,153,17,4.087462841250339,7.294620748891627,0.5603393215296908,0
157,2,4,703593177,7477,12.868243817704636,7.294620748891627,0.44101826060182386,7476
157,3,6,13503656263104,378817,18.531141549871858,7.294620748891627,0.42339741817483684,126272
163,1,1,168,7,2.807354922057604,7.348728154231077,0.3820191553066569,0
163,2,4,720775216,6435493,22.617619241688,7.348728154231077,0.7694399209972735,1608873
163,3,6,15855480465408,860214869,29.680121827892698,7.348728154231077,0.6731351150154279,430107434
167,1,1,164,41,5.357552004618084,7.383704292474052,0.7255913552874601,0
