N,spins_per_layer,beta,kappa,log_Z,overlap_per_site,overlap_response_to_kappa_per_site,intralayer_interaction_energy_per_spin,evaluation
35,16,0.2,0.26,24.10587828583705,0.2851581143327042,1.0309280663966327,-0.37671585671886193,Numerical finite sums from exact integer counts.
35,16,0.2,0.2625,24.117336126784316,0.287733180977477,1.0291231405488401,-0.3771615754191438,Numerical finite sums from exact integer counts.
35,16,0.2,0.265,24.128896879940683,0.2903037195397192,1.0273056198396195,-0.3776106483653724,Numerical finite sums from exact integer counts.
35,16,0.2,0.2675,24.140560363555053,0.29286969867845275,1.0254756212768603,-0.37806305206020996,Numerical finite sums from exact integer counts.
35,16,0.2,0.27,24.152326394628545,0.2954310873457195,1.0236332622660065,-0.3785187628943759,Numerical finite sums from exact integer counts.
35,16,0.2,0.2725,24.16419478892624,0.29798785478755535,1.0217786605945267,-0.3789777571492174,Numerical finite sums from exact integer counts.
35,16,0.2,0.275,24.176165360988957,0.30053997054492665,1.0199119344164238,-0.3794400109992812,Numerical finite sums from exact integer counts.
35,16,0.2,0.2775,24.188237924145067,0.3030874044546268,1.0180332022367795,-0.3799055005148855,Numerical finite sums from exact integer counts.
35,16,0.2,0.28,24.20041229052234,0.30563012665013456,1.0161425828963424,-0.38037420166469327,Numerical finite sums from exact integer counts.
35,16,0.2,0.28250000000000003,24.212688271059836,0.30816810756243374,1.0142401955561724,-0.3808460903182836,Numerical finite sums from exact integer counts.
35,16,0.2,0.28500000000000003,24.225065675519815,0.3107013179207959,1.0123261596823163,-0.38132114224872327,Numerical finite sums from exact integer counts.
35,16,0.2,0.28750000000000003,24.23754431249969,0.3132297287535228,1.0104005950305526,-0.3817993331351365,Numerical finite sums from exact integer counts.
